Date,S&P,Nasdaq
2017-07-17,2459.139893,6314.430176
2017-07-18,2460.610107,6344.310059
2017-07-19,2473.830078,6385.040039
2017-07-20,2473.449951,6390
2017-07-21,2472.540039,6387.75
2017-07-24,2469.909912,6410.810059
2017-07-25,2477.129883,6412.169922
2017-07-26,2477.830078,6422.75
2017-07-27,2475.419922,6382.189941
2017-07-28,2472.100098,6374.680176
2017-07-31,2470.300049,6348.120117
2017-08-01,2476.350098,6362.939941
2017-08-02,2477.570068,6362.649902
2017-08-03,2472.159912,6340.339844
2017-08-04,2476.830078,6351.560059
2017-08-07,2480.909912,6383.77002
2017-08-08,2474.919922,6370.459961
2017-08-09,2474.02002,6352.330078
2017-08-10,2438.209961,6216.870117
2017-08-11,2441.320068,6256.560059
2017-08-14,2465.840088,6340.22998
2017-08-15,2464.610107,6333.009766
2017-08-16,2468.110107,6345.109863
2017-08-17,2430.01001,6221.910156
2017-08-18,2425.550049,6216.529785
2017-08-21,2428.370117,6213.129883
2017-08-22,2452.51001,6297.47998
2017-08-23,2444.040039,6278.410156
2017-08-24,2438.969971,6271.330078
2017-08-25,2443.050049,6265.640137
2017-08-28,2444.23999,6283.02002
2017-08-29,2446.300049,6301.890137
2017-08-30,2457.590088,6368.310059
2017-08-31,2471.649902,6428.660156
2017-09-01,2476.550049,6435.330078
2017-09-05,2457.850098,6375.569824
2017-09-06,2465.540039,6393.310059
2017-09-07,2465.100098,6397.870117
2017-09-08,2461.429932,6360.189941
2017-09-11,2488.110107,6432.259766
2017-09-12,2496.47998,6454.279785
2017-09-13,2498.370117,6460.189941
2017-09-14,2495.620117,6429.080078
2017-09-15,2500.22998,6448.470215
2017-09-18,2503.870117,6454.640137
2017-09-19,2506.649902,6461.319824
2017-09-20,2508.23999,6456.040039
2017-09-21,2500.600098,6422.689941
2017-09-22,2502.219971,6426.919922
2017-09-25,2496.659912,6370.589844
2017-09-26,2496.840088,6380.160156
2017-09-27,2507.040039,6453.259766
2017-09-28,2510.060059,6453.450195
2017-09-29,2519.360107,6495.959961
2017-10-02,2529.120117,6516.720215
2017-10-03,2534.580078,6531.709961
2017-10-04,2537.73999,6534.629883
2017-10-05,2552.070068,6585.359863
2017-10-06,2549.330078,6590.180176
2017-10-09,2544.72998,6579.72998
2017-10-10,2550.639893,6587.25
2017-10-11,2555.23999,6603.549805
2017-10-12,2550.929932,6591.509766
2017-10-13,2553.169922,6605.799805
2017-10-16,2557.639893,6624
2017-10-17,2559.360107,6623.660156
2017-10-18,2561.26001,6624.220215
2017-10-19,2562.100098,6605.069824
2017-10-20,2575.209961,6629.049805
2017-10-23,2564.97998,6586.830078
2017-10-24,2569.129883,6598.430176
2017-10-25,2557.149902,6563.890137
2017-10-26,2560.399902,6556.77002
2017-10-27,2581.070068,6701.259766
2017-10-30,2572.830078,6698.959961
2017-10-31,2575.26001,6727.669922
2017-11-01,2579.360107,6716.529785
2017-11-02,2579.850098,6714.939941
2017-11-03,2587.840088,6764.439941
2017-11-06,2591.129883,6786.439941
2017-11-07,2590.639893,6767.779785
2017-11-08,2594.379883,6789.120117
2017-11-09,2584.620117,6750.049805
2017-11-10,2582.300049,6750.939941
2017-11-13,2584.840088,6757.600098
2017-11-14,2578.870117,6737.870117
2017-11-15,2564.620117,6706.209961
2017-11-16,2585.639893,6793.290039
2017-11-17,2578.850098,6782.790039
2017-11-20,2582.139893,6790.709961
2017-11-21,2599.030029,6862.47998
2017-11-22,2597.080078,6867.359863
2017-11-24,2602.419922,6889.160156
2017-11-27,2601.419922,6878.52002
2017-11-28,2627.040039,6912.359863
2017-11-29,2626.070068,6824.390137
2017-11-30,2647.580078,6873.970215
2017-12-01,2642.219971,6847.589844
2017-12-04,2639.439941,6775.370117
2017-12-05,2629.570068,6762.209961
2017-12-06,2629.27002,6776.379883
2017-12-07,2636.97998,6812.839844
2017-12-08,2651.5,6840.080078
2017-12-11,2659.98999,6875.080078
2017-12-12,2664.110107,6862.319824
2017-12-13,2662.850098,6875.799805
2017-12-14,2652.01001,6856.529785
2017-12-15,2675.810059,6936.580078
2017-12-18,2690.159912,6994.759766
2017-12-19,2681.469971,6963.850098
2017-12-20,2679.25,6960.959961
2017-12-21,2684.570068,6965.359863
2017-12-22,2683.340088,6959.959961
2017-12-26,2680.5,6936.25
2017-12-27,2682.620117,6939.339844
2017-12-28,2687.540039,6950.160156
2017-12-29,2673.610107,6903.390137
2018-01-02,2695.810059,7006.899902
2018-01-03,2713.060059,7065.529785
2018-01-04,2723.98999,7077.910156
2018-01-05,2743.149902,7136.560059
2018-01-08,2747.709961,7157.390137
2018-01-09,2751.290039,7163.580078
2018-01-10,2748.22998,7153.569824
2018-01-11,2767.560059,7211.779785
2018-01-12,2786.23999,7261.060059
2018-01-16,2776.419922,7223.689941
